id,severity,category,file,symbol,evidence,proposed_action,risk,validation_command,status,rationale
"LOCAL-001","P0","unused_export","src/worker/event-coalescer.js","__eventCoalescerTest","rg found only the export definition and no consumers","Remove the unused test export object","low","npx vitest run src/__tests__/worker/event-coalescer.test.js","resolved","No call sites; tests exercise behavior through createSdkEventCoalescer"
"DC-002","P0","ineffective_code","src/ui/src/components/CodeBlock.jsx","language || true","Condition is always truthy, so the header always renders today","Render the header unconditionally and remove the dead condition","low","npm run build:ui","resolved","Removes an ineffective branch without changing rendered output"
"DC-003","P0","unused_export","src/integrations/slack/filter.js","shouldProcessSlackMessage","rg found only the export definition; callers use slackMessageFilterReason","Remove the unused wrapper export","low","npx vitest run src/__tests__/integrations/slack.test.js","resolved","Internal integration helper has no call sites"
"DC-004","P0","unused_export","src/core/db/queries/agents.js","listAgentsByNamePrefix","rg found only the export definition","Remove unused query helper","low","npx vitest run src/__tests__/api/routes-agents.test.js","resolved","Internal query helper has no source, test, script, or doc call sites"
"DC-005","P0","unused_export","src/core/db/queries/projects.js","getProjectIdBySlug; listProjectsByNamePrefix","rg found only the export definitions","Remove unused query helpers","low","npx vitest run src/__tests__/api/routes-projects.test.js src/__tests__/core/projects.test.js","resolved","Internal query helpers have no source, test, script, or doc call sites"
"DC-006","P0","unused_export","src/core/db/queries/comments.js","insertHumanComment","rg found only the export definition","Remove unused query helper","low","npx vitest run src/__tests__/api/routes-tasks.test.js","resolved","Current comment writers use authored/system helpers"
"DC-007","P0","unused_export","src/core/db/queries/task-attachments.js","listTaskAttachments","rg found only the export definition","Remove unused query helper","low","npx vitest run src/__tests__/api/routes-attachments.test.js","resolved","Instruction and comment attachment helpers cover current call sites"
"DC-008","P0","unused_export","src/core/db/queries/goals.js","listGoalsForTeam; searchGoalsForMention; listLeadCyclesByTeam","rg found only the export definitions","Remove unused query helpers","low","npx vitest run src/__tests__/api/routes-goals.test.js src/__tests__/core/goals-native.test.js","resolved","Internal query helpers have no source, test, script, or doc call sites"
"DC-009","P0","unused_export","src/core/db/queries/runs.js","searchRunsForMention; getRunRuntimeTelemetry","rg found only the export definitions","Remove unused query helpers","low","npx vitest run src/__tests__/api/routes-runs.test.js src/__tests__/core/run-event-store.test.js","resolved","Internal query helpers have no source, test, script, or doc call sites"
"AR-002","P0","dead_helper_group","src/coordinator/watcher/kb-publisher.js","runResultKbSlug; runResultKbTags; runResultKbTitle; runResultKbBody","rg found only the export definitions","Remove unused KB mirroring helpers and stale comment text","low","npx vitest run src/__tests__/coordinator/task-watcher.test.js","resolved","Remaining KB publisher behavior only detects existing KB writes and appends KB links"
"AR-003","P0","dead_helper_chain","src/coordinator/watcher/final-text.js","richFinalAnswerFromRun; conciseCommentForLinkedAnswer; firstMeaningfulParagraph","rg found only definitions and private internal use in the dead chain","Remove unused rich-final helper chain and private constants/functions","low","npx vitest run src/__tests__/coordinator/task-watcher.test.js src/__tests__/coordinator/task-watcher-review.test.js","resolved","Current final comment path uses sanitizeAgentText, structuredFinalText, assistantTextsFromEvents, and agentCommentBody"
"AR-010","P1","needless_wrapper","src/cli/compact-logs.js","compactedEvents","Wrapper only returns compactEvents(events, options) and is used once","Inline compactEvents at the single call site and remove compactedEvents","low","npx vitest run src/__tests__/cli/compact-logs.test.js","resolved","Single-use wrapper adds no behavior"
"AR-011","P1","duplicate_wrapper","src/cli/install-service.js; src/cli/uninstall-service.js","dryRun","Both modules duplicate args.includes('--dry-run') while src/cli/args.js exports hasFlag","Use hasFlag(args, '--dry-run') and remove duplicate wrappers","low","npx vitest run src/__tests__/cli/install-service.test.js src/__tests__/cli/service-runtime.test.js","resolved","Uses existing CLI flag helper without changing accepted flag syntax"
"DC-001","P0","unused_dependency","packages/agent-runtime/package.json","zod","packages/agent-runtime currently has no zod imports","Remove zod from package dependencies and lockfile","medium","npm run pack:check","kept","Kept because package dependency shape and lockfile updates are public release/install surfaces; needs explicit approval for package contract cleanup"
